"Open Time ET","Side","Qty Open","Symbol","Descrip","Avg Price Open","Qty Closed","Closed Time ET","Avg Price Closed","DD as %","DD $","DD Time ET","DD Quant","DD Worst Price","Trade P/L"
"2017-03-21 08:49:47","SHORT","8","CAD/CHF","CAD/CHF","0.7489","8","2017-03-21 10:50:30","0.7476","-0.07","-46.23","2017-03-21 09:27:00","-8","0.7495","111.00"
"2017-03-20 12:56:10","SHORT","10","NZD/CAD","NZD/CAD","0.9419","10","2017-03-21 08:17:19","0.9395","-0.04","-24.25","2017-03-20 18:00:00","-10","0.9422","176.00"
"2017-03-20 09:43:37","SHORT","6","EUR/CAD","EUR/CAD","1.4370","6","2017-03-20 12:58:15","1.4348","-0.05","-32.87","2017-03-20 09:55:00","-6","1.4377","99.00"
"2017-03-16 12:09:25","SHORT","5","GBP/USD","GBP/USD","1.2367","5","2017-03-20 12:29:25","1.2346","-0.51","-339.70","2017-03-20 03:33:00","-5","1.2435","109.00"
"2017-03-16 19:13:17","SHORT","6","EUR/AUD","EUR/AUD","1.4038","6","2017-03-17 08:19:07","1.3947","-0.12","-80.10","2017-03-16 19:38:00","-6","1.4055","422.00"
"2017-03-16 15:45:48","SHORT","6","EUR/CAD","EUR/CAD","1.4368","6","2017-03-16 17:49:27","1.4345","-0.07","-46.45","2017-03-16 15:50:00","-6","1.4379","104.00"
"2017-03-14 08:34:20","SHORT","5","NZD/CAD","NZD/CAD","0.9319","5","2017-03-16 08:29:11","0.9292","-0.36","-230.20","2017-03-15 14:53:00","-5","0.9381","104.00"
"2017-03-02 11:59:38","SHORT","9","EUR/AUD","EUR/AUD","1.3907","9","2017-03-15 15:39:12","1.3889","-3.08","-1925.53","2017-03-12 20:08:00","-9","1.4184","122.00"
"2017-03-09 08:45:25","SHORT","4","GBP/CAD","GBP/CAD","1.6467","4","2017-03-09 17:37:49","1.6424","-0.06","-41.12","2017-03-09 08:55:00","-4","1.6481","125.00"
"2017-03-02 08:21:40","SHORT","6","CAD/CHF","CAD/CHF","0.7569","6","2017-03-03 07:59:52","0.7542","-0.16","-107.99","2017-03-02 08:33:00","-6","0.7588","164.00"
"2017-03-01 13:57:28","SHORT","6","EUR/USD","EUR/USD","1.0568","6","2017-03-01 14:32:31","1.0547","-0.00","-0.84","2017-03-01 13:59:00","-6","1.0568","123.00"
"2017-03-01 08:40:07","SHORT","5","CAD/CHF","CAD/CHF","0.7592","5","2017-03-01 10:24:56","0.7575","-0.10","-70.16","2017-03-01 10:00:00","-5","0.7606","83.00"
"2017-02-28 13:49:53","SHORT","6","EUR/CAD","EUR/CAD","1.4078","6","2017-02-28 22:43:15","1.4054","-0.06","-42.65","2017-02-28 15:10:00","-6","1.4087","110.00"
"2017-02-28 09:46:11","SHORT","6","NZD/CHF","NZD/CHF","0.7240","6","2017-02-28 16:27:07","0.7228","-0.13","-93.35","2017-02-28 10:50:00","-6","0.7256","71.00"
"2017-02-27 14:49:48","SHORT","6","GBP/AUD","GBP/AUD","1.6205","6","2017-02-28 08:10:27","1.6179","-0.11","-73.82","2017-02-28 06:03:00","-6","1.6221","116.00"
"2017-02-23 10:52:39","SHORT","6","NZD/CAD","NZD/CAD","0.9486","6","2017-02-23 19:46:50","0.9473","-0.02","-14.00","2017-02-23 10:57:00","-6","0.9489","55.00"
"2017-02-23 08:57:57","SHORT","6","NZD/CHF","NZD/CHF","0.7284","6","2017-02-23 10:13:11","0.7285","-0.15","-104.01","2017-02-23 09:34:00","-6","0.7301","-4.00"
"2017-02-17 12:23:21","SHORT","7","USD/CAD","USD/CAD","1.3121","7","2017-02-23 08:12:40","1.3119","-0.69","-473.54","2017-02-22 08:49:00","-7","1.3210","14.00"
"2017-02-22 08:46:57","SHORT","5","GBP/CHF","GBP/CHF","1.2601","5","2017-02-22 14:53:12","1.2579","-0.18","-125.33","2017-02-22 10:31:00","-5","1.2626","105.00"
"2017-02-21 11:03:19","SHORT","5","CAD/CHF","CAD/CHF","0.7685","5","2017-02-21 13:30:46","0.7665","-0.01","-7.28","2017-02-21 11:07:00","-5","0.7687","99.00"
"2017-02-20 09:21:48","SHORT","6","GBP/USD","GBP/USD","1.2465","6","2017-02-21 08:15:15","1.2417","-0.14","-94.86","2017-02-20 19:11:00","-6","1.2481","288.00"
"2017-02-16 12:45:21","SHORT","4","EUR/GBP","EUR/GBP","0.8541","4","2017-02-17 12:52:52","0.8536","-0.37","-250.74","2017-02-17 05:11:00","-4","0.8592","26.00"
"2017-02-17 08:35:05","SHORT","4","GBP/AUD","GBP/AUD","1.6208","4","2017-02-17 09:52:06","1.6177","-0.03","-21.89","2017-02-17 09:06:00","-4","1.6215","96.00"
"2017-02-16 16:22:34","SHORT","4","GBP/CAD","GBP/CAD","1.6326","4","2017-02-17 08:09:09","1.6248","-0.08","-55.86","2017-02-16 20:15:00","-4","1.6344","238.00"
"2017-02-07 17:38:15","SHORT","5","GBP/CHF","GBP/CHF","1.2479","5","2017-02-16 14:01:22","1.2457","-0.95","-631.60","2017-02-13 17:49:00","-5","1.2605","110.00"
"2017-02-09 14:16:08","SHORT","3","USD/CHF","USD/CHF","1.0009","3","2017-02-16 11:18:23","0.9978","-0.50","-329.00","2017-02-15 08:41:00","-3","1.0119","94.00"
"2017-02-12 19:09:52","SHORT","6","GBP/USD","GBP/USD","1.2489","6","2017-02-14 08:57:00","1.2464","-0.54","-355.80","2017-02-14 00:57:00","-6","1.2548","152.00"
"2017-01-17 08:34:42","SHORT","7","NZD/CAD","NZD/CAD","0.9390","7","2017-02-10 08:38:44","0.9396","-2.08","-1406.48","2017-02-06 23:35:00","-7","0.9653","-33.00"
"2017-02-07 11:00:51","SHORT","5","EUR/AUD","EUR/AUD","1.3989","5","2017-02-08 08:17:36","1.3959","-0.17","-112.59","2017-02-07 19:03:00","-5","1.4018","112.00"
"2017-01-30 20:31:30","SHORT","7","EUR/USD","EUR/USD","1.0696","7","2017-02-07 08:13:10","1.0677","-1.42","-928.34","2017-02-02 08:49:00","-7","1.0829","134.00"
"2017-02-02 09:20:46","SHORT","6","EUR/GBP","EUR/GBP","0.8600","6","2017-02-06 22:49:51","0.8588","-0.50","-331.06","2017-02-05 17:40:00","-6","0.8644","92.00"
